317 stored-example win candidates; fresh-gating each (n=200)...
  ADOPT task312: 16.77 -> 22.00 (+5.23) [fresh OK]
  ADOPT task166: 16.89 -> 21.82 (+4.93) [fresh OK]
  ADOPT task130: 17.14 -> 21.60 (+4.46) [fresh OK]
  ADOPT task140: 19.09 -> 23.39 (+4.30) [fresh OK]
  ADOPT task298: 16.22 -> 20.09 (+3.87) [fresh OK]
  ADOPT task291: 16.97 -> 20.78 (+3.81) [fresh OK]
  ADOPT task007: 16.43 -> 20.16 (+3.72) [fresh OK]
  ADOPT task024: 16.71 -> 20.30 (+3.59) [fresh OK]
  ADOPT task248: 16.54 -> 19.98 (+3.44) [fresh OK]
  ADOPT task299: 17.77 -> 21.09 (+3.32) [fresh OK]
  ADOPT task313: 16.55 -> 19.74 (+3.19) [fresh OK]
  ADOPT task242: 15.77 -> 18.88 (+3.11) [fresh OK]
  ADOPT task223: 20.50 -> 23.39 (+2.89) [fresh OK]
  ADOPT task360: 16.30 -> 19.17 (+2.88) [fresh OK]
  ADOPT task082: 16.88 -> 19.75 (+2.87) [fresh OK]
  ADOPT task028: 17.06 -> 19.88 (+2.82) [fresh OK]
  ADOPT task252: 16.66 -> 19.44 (+2.78) [fresh OK]
  ADOPT task112: 14.77 -> 17.52 (+2.74) [fresh OK]
  ADOPT task040: 16.34 -> 19.08 (+2.74) [fresh OK]
  ADOPT task059: 15.97 -> 18.68 (+2.71) [fresh OK]
  ADOPT task096: 13.20 -> 15.88 (+2.69) [fresh OK]
  ADOPT task253: 15.84 -> 18.52 (+2.68) [fresh OK]
  ADOPT task143: 15.63 -> 18.27 (+2.64) [fresh OK]
  ADOPT task121: 16.57 -> 19.17 (+2.60) [fresh OK]
  ADOPT task049: 16.47 -> 19.04 (+2.57) [fresh OK]
  ADOPT task231: 17.08 -> 19.61 (+2.53) [fresh OK]
  ADOPT task071: 14.59 -> 17.10 (+2.51) [fresh OK]
  ADOPT task046: 14.64 -> 17.15 (+2.50) [fresh OK]
  ADOPT task039: 16.35 -> 18.83 (+2.48) [fresh OK]
  ADOPT task176: 17.04 -> 19.52 (+2.48) [fresh OK]
  ADOPT task101: 12.68 -> 15.14 (+2.45) [fresh OK]
  REJECT task023: theirs 16.31 FRESH=False (overfit/non-general — kept ours 13.86)
  ADOPT task300: 16.25 -> 18.70 (+2.45) [fresh OK]
  ADOPT task357: 16.88 -> 19.33 (+2.45) [fresh OK]
  ADOPT task218: 15.94 -> 18.38 (+2.44) [fresh OK]
  ADOPT task353: 16.75 -> 19.19 (+2.44) [fresh OK]
  ADOPT task153: 15.96 -> 18.32 (+2.36) [fresh OK]
  ADOPT task274: 17.21 -> 19.53 (+2.32) [fresh OK]
  ADOPT task005: 13.51 -> 15.82 (+2.31) [fresh OK]
  ADOPT task216: 13.56 -> 15.87 (+2.31) [fresh OK]
  ADOPT task058: 15.77 -> 18.06 (+2.29) [fresh OK]
  ADOPT task068: 16.29 -> 18.57 (+2.28) [fresh OK]
  ADOPT task308: 15.42 -> 17.69 (+2.28) [fresh OK]
  ADOPT task375: 16.91 -> 19.14 (+2.23) [fresh OK]
  ADOPT task306: 17.09 -> 19.30 (+2.20) [fresh OK]
  ADOPT task371: 16.69 -> 18.85 (+2.17) [fresh OK]
  ADOPT task038: 17.49 -> 19.64 (+2.15) [fresh OK]
  ADOPT task104: 17.31 -> 19.46 (+2.15) [fresh OK]
  ADOPT task389: 17.91 -> 20.06 (+2.15) [fresh OK]
  ADOPT task263: 16.33 -> 18.47 (+2.14) [fresh OK]
  ADOPT task315: 17.44 -> 19.56 (+2.12) [fresh OK]
  ADOPT task307: 21.31 -> 23.39 (+2.08) [fresh OK]
  ADOPT task280: 14.25 -> 16.28 (+2.03) [fresh OK]
  ADOPT task269: 16.40 -> 18.43 (+2.03) [fresh OK]
  ADOPT task372: 16.44 -> 18.43 (+1.99) [fresh OK]
  ADOPT task391: 17.98 -> 19.93 (+1.95) [fresh OK]
  ADOPT task065: 16.59 -> 18.54 (+1.94) [fresh OK]
  ADOPT task088: 15.53 -> 17.47 (+1.93) [fresh OK]
  ADOPT task213: 15.46 -> 17.38 (+1.93) [fresh OK]
  ADOPT task077: 13.48 -> 15.39 (+1.91) [fresh OK]
  ADOPT task180: 17.74 -> 19.65 (+1.91) [fresh OK]
  ADOPT task100: 16.75 -> 18.66 (+1.91) [fresh OK]
  ADOPT task225: 16.16 -> 18.06 (+1.90) [fresh OK]
  ADOPT task244: 16.00 -> 17.89 (+1.89) [fresh OK]
  ADOPT task400: 15.56 -> 17.45 (+1.89) [fresh OK]
  ADOPT task296: 17.32 -> 19.20 (+1.88) [fresh OK]
  ADOPT task069: 14.86 -> 16.73 (+1.86) [fresh OK]
  ADOPT task178: 16.50 -> 18.36 (+1.86) [fresh OK]
  ADOPT task317: 18.20 -> 20.02 (+1.82) [fresh OK]
  ADOPT task228: 16.32 -> 18.13 (+1.82) [fresh OK]
  ADOPT task370: 13.95 -> 15.74 (+1.78) [fresh OK]
  ADOPT task292: 17.18 -> 18.93 (+1.75) [fresh OK]
  ADOPT task345: 15.95 -> 17.69 (+1.74) [fresh OK]
  ADOPT task133: 12.84 -> 14.58 (+1.74) [fresh OK]
  ADOPT task380: 18.68 -> 20.40 (+1.73) [fresh OK]
  ADOPT task382: 14.61 -> 16.34 (+1.73) [fresh OK]
  ADOPT task025: 13.74 -> 15.43 (+1.70) [fresh OK]
  ADOPT task037: 14.84 -> 16.53 (+1.69) [fresh OK]
  ADOPT task288: 16.44 -> 18.14 (+1.69) [fresh OK]
  ADOPT task075: 16.02 -> 17.70 (+1.68) [fresh OK]
  ADOPT task326: 19.92 -> 21.60 (+1.67) [fresh OK]
  ADOPT task384: 16.91 -> 18.58 (+1.67) [fresh OK]
  ADOPT task275: 15.72 -> 17.39 (+1.67) [fresh OK]
  ADOPT task119: 16.12 -> 17.78 (+1.66) [fresh OK]
  ADOPT task332: 17.00 -> 18.66 (+1.66) [fresh OK]
  ADOPT task036: 15.66 -> 17.31 (+1.65) [fresh OK]
  ADOPT task341: 16.08 -> 17.73 (+1.65) [fresh OK]
  ADOPT task290: 17.48 -> 19.13 (+1.65) [fresh OK]
  ADOPT task110: 13.83 -> 15.46 (+1.63) [fresh OK]
  ADOPT task097: 16.57 -> 18.19 (+1.62) [fresh OK]
  ADOPT task159: 16.03 -> 17.64 (+1.62) [fresh OK]
  ADOPT task031: 16.09 -> 17.70 (+1.61) [fresh OK]
  ADOPT task262: 18.73 -> 20.34 (+1.61) [fresh OK]
  ADOPT task346: 16.26 -> 17.87 (+1.61) [fresh OK]
  ADOPT task051: 15.90 -> 17.50 (+1.60) [fresh OK]
  ADOPT task081: 17.26 -> 18.86 (+1.60) [fresh OK]
  ADOPT task362: 17.15 -> 18.74 (+1.60) [fresh OK]
  ADOPT task157: 13.76 -> 15.35 (+1.59) [fresh OK]
  ADOPT task342: 16.04 -> 17.62 (+1.58) [fresh OK]
  ADOPT task079: 15.39 -> 16.95 (+1.56) [fresh OK]
  ADOPT task279: 14.82 -> 16.38 (+1.56) [fresh OK]
  ADOPT task285: 13.27 -> 14.83 (+1.55) [fresh OK]
  ADOPT task232: 16.20 -> 17.75 (+1.54) [fresh OK]
  ADOPT task170: 15.62 -> 17.16 (+1.54) [fresh OK]
  ADOPT task041: 15.97 -> 17.50 (+1.53) [fresh OK]
  ADOPT task066: 13.51 -> 15.03 (+1.53) [fresh OK]
  ADOPT task146: 17.28 -> 18.80 (+1.52) [fresh OK]
  ADOPT task126: 17.09 -> 18.59 (+1.50) [fresh OK]
  ADOPT task247: 17.29 -> 18.79 (+1.50) [fresh OK]
  ADOPT task238: 15.68 -> 17.17 (+1.50) [fresh OK]
  ADOPT task185: 15.75 -> 17.25 (+1.49) [fresh OK]
  ADOPT task373: 19.42 -> 20.91 (+1.49) [fresh OK]
  ADOPT task022: 15.78 -> 17.26 (+1.48) [fresh OK]
  ADOPT task207: 18.06 -> 19.54 (+1.48) [fresh OK]
  ADOPT task284: 15.29 -> 16.75 (+1.47) [fresh OK]
  ADOPT task184: 15.70 -> 17.17 (+1.46) [fresh OK]
  ADOPT task200: 16.91 -> 18.37 (+1.46) [fresh OK]
  ADOPT task325: 15.88 -> 17.33 (+1.45) [fresh OK]
  ADOPT task033: 16.14 -> 17.60 (+1.45) [fresh OK]
  ADOPT task318: 18.95 -> 20.39 (+1.45) [fresh OK]
  ADOPT task392: 15.97 -> 17.41 (+1.44) [fresh OK]
  ADOPT task397: 15.59 -> 17.00 (+1.41) [fresh OK]
  ADOPT task321: 17.88 -> 19.30 (+1.41) [fresh OK]
  ADOPT task087: 19.09 -> 20.50 (+1.41) [fresh OK]
  ADOPT task083: 17.50 -> 18.90 (+1.39) [fresh OK]
  ADOPT task011: 15.94 -> 17.33 (+1.39) [fresh OK]
  ADOPT task124: 16.04 -> 17.42 (+1.39) [fresh OK]
  ADOPT task217: 16.33 -> 17.71 (+1.37) [fresh OK]
  ADOPT task017: 13.94 -> 15.30 (+1.36) [fresh OK]
  ADOPT task090: 15.60 -> 16.96 (+1.36) [fresh OK]
  ADOPT task259: 16.80 -> 18.16 (+1.36) [fresh OK]
  ADOPT task048: 16.60 -> 17.95 (+1.35) [fresh OK]
  ADOPT task297: 16.42 -> 17.76 (+1.34) [fresh OK]
  ADOPT task227: 19.07 -> 20.39 (+1.33) [fresh OK]
  ADOPT task383: 14.77 -> 16.10 (+1.33) [fresh OK]
  ADOPT task367: 13.46 -> 14.77 (+1.31) [fresh OK]
  ADOPT task203: 16.64 -> 17.96 (+1.31) [fresh OK]
  ADOPT task009: 14.55 -> 15.86 (+1.31) [fresh OK]
  ADOPT task195: 16.86 -> 18.17 (+1.31) [fresh OK]
  ADOPT task145: 14.21 -> 15.51 (+1.30) [fresh OK]
  ADOPT task316: 17.64 -> 18.95 (+1.30) [fresh OK]
  ADOPT task268: 15.50 -> 16.80 (+1.30) [fresh OK]
  ADOPT task310: 15.60 -> 16.90 (+1.30) [fresh OK]
  ADOPT task115: 16.75 -> 18.05 (+1.30) [fresh OK]
  ADOPT task287: 16.11 -> 17.40 (+1.29) [fresh OK]
  ADOPT task189: 16.89 -> 18.18 (+1.29) [fresh OK]
  ADOPT task020: 16.38 -> 17.66 (+1.29) [fresh OK]
  ADOPT task237: 16.15 -> 17.44 (+1.29) [fresh OK]
  ADOPT task089: 14.83 -> 16.11 (+1.28) [fresh OK]
  ADOPT task196: 15.25 -> 16.53 (+1.28) [fresh OK]
  ADOPT task086: 15.67 -> 16.94 (+1.27) [fresh OK]
  ADOPT task303: 16.34 -> 17.61 (+1.27) [fresh OK]
  ADOPT task193: 15.49 -> 16.77 (+1.27) [fresh OK]
  ADOPT task239: 16.88 -> 18.15 (+1.27) [fresh OK]
  ADOPT task229: 18.25 -> 19.52 (+1.27) [fresh OK]
  ADOPT task054: 13.50 -> 14.76 (+1.26) [fresh OK]
  ADOPT task235: 18.61 -> 19.86 (+1.25) [fresh OK]
  ADOPT task092: 14.87 -> 16.11 (+1.24) [fresh OK]
  ADOPT task008: 15.12 -> 16.36 (+1.24) [fresh OK]
  ADOPT task365: 15.46 -> 16.69 (+1.24) [fresh OK]
  ADOPT task163: 15.98 -> 17.22 (+1.24) [fresh OK]
  ADOPT task182: 14.76 -> 16.00 (+1.23) [fresh OK]
  ADOPT task173: 13.55 -> 14.78 (+1.23) [fresh OK]
  ADOPT task221: 17.08 -> 18.31 (+1.23) [fresh OK]
  ADOPT task154: 15.85 -> 17.08 (+1.22) [fresh OK]
  ADOPT task062: 15.94 -> 17.16 (+1.22) [fresh OK]
  ADOPT task328: 14.94 -> 16.16 (+1.22) [fresh OK]
  ADOPT task052: 18.36 -> 19.58 (+1.22) [fresh OK]
  ADOPT task078: 16.62 -> 17.84 (+1.22) [fresh OK]
  ADOPT task281: 16.01 -> 17.22 (+1.22) [fresh OK]
  ADOPT task117: 15.45 -> 16.66 (+1.21) [fresh OK]
  ADOPT task387: 15.19 -> 16.37 (+1.19) [fresh OK]
  ADOPT task351: 16.42 -> 17.59 (+1.17) [fresh OK]
  ADOPT task134: 16.09 -> 17.26 (+1.17) [fresh OK]
  ADOPT task305: 17.38 -> 18.54 (+1.17) [fresh OK]
  ADOPT task027: 16.66 -> 17.82 (+1.16) [fresh OK]
  ADOPT task060: 16.92 -> 18.08 (+1.16) [fresh OK]
  ADOPT task320: 17.21 -> 18.35 (+1.15) [fresh OK]
  ADOPT task361: 15.35 -> 16.49 (+1.13) [fresh OK]
